x_RIS_m,y_RIS_m,z_RIS_m,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps
0.6333333333333333,0.0,2.57,1.4012776869064684e-08,1.4012776869064684e-08,1.4012776869064684e-08,0.005515693848703838,-22.583998475557387,158711.98116973016,0.15871198116973018
0.6333333333333333,0.0,2.6466666666666665,1.1338268028715763e-08,1.1338268028715763e-08,1.1338268028715763e-08,0.003611147081918136,-24.42354822411012,104007.99847172969,0.10400799847172969
0.6333333333333333,0.0,2.723333333333333,8.701787846016553e-09,8.701787846016553e-09,8.701787846016553e-09,0.002127006028132817,-26.72231279264592,61307.243625257506,0.0613072436252575
0.6333333333333333,0.0,2.8,6.138506477114131e-09,6.138506477114131e-09,6.138506477114131e-09,0.0010584666431072815,-29.753228239390506,30524.739678138438,0.030524739678138436
0.7666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,0.5766666666666667,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,0.6533333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,0.73,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,0.8066666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,0.8833333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,0.96,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.0366666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.1133333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.19,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.3433333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.42,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.4966666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.5733333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.7666666666666666,0.0,1.65,4.213930677929953e-08,4.213930677929953e-08,4.213930677929953e-08,0.04988000782934335,-13.020734870250838,1404488.9958892793,1.4044889958892792
0.7666666666666666,0.0,1.7266666666666666,4.2780187779028225e-08,4.2780187779028225e-08,4.2780187779028225e-08,0.051408758061426446,-12.889628877412981,1446473.1496812277,1.4464731496812278
